tags,tag_count,production_line,where,file_name
Bubble|Extraneous Polymer,2,L24,ICube Defects Library/Bubble; Updated ICube Objects/Extraneous Polymer,20241109_213824_L24_C10_9460_0.9988_0.4847.bmp
Bubble|Fiber,2,L24,ICube Defects Library/Bubble; Updated ICube Objects/Fiber,20241107_035652_L24_C13_9774_0.9997.bmp
Bubble|Fiber,2,L24,ICube Defects Library/Bubble; Updated ICube Objects/Fiber,20241109_083707_L24_C11_9765_0.9992_0.9159.bmp
Bubble|Foreign Matter,2,L24,ICube Defects Library/Bubble; Updated ICube Objects/Foreign Matter,20241106_185031_L24_C15_9521_0.9778_0.5263.bmp
Bubble Irregular|Foreign Matter,2,L27,ICube Defects Library/Bubble Irregular; Updated ICube Objects/Foreign Matter,20241102_140219_L27_PalletGHU1102145322_Cavity5_B01779V_Fail3_Score(0.9182535)_1.0000_0.9911.bmp
Bubble Irregular|Foreign Matter,2,L24,ICube Defects Library/Bubble Irregular; Updated ICube Objects/Foreign Matter,20241106_092943_L24_C10_9567_0.9981_0.7192.bmp
Extraneous Polymer|Fiber,2,L24,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241106_102644_L24_C10_9873.bmp
Extraneous Polymer|Fiber,2,L24,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241108_184745_L24_C9_9550_0.9984_0.3941.bmp
Extraneous Polymer|Fiber,2,L27,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241110_070609_L27_C9_9716.bmp
Extraneous Polymer|Fiber,2,L27,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241110_121647_L27_C14_9672.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_135215_L25_C5_9254.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_145309_L25_C2_9998.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_152811_L25_PalletGHM1112181712_Cavity7_B017961_Fail7_Score(0.9966033)_0.9997_0.9983.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_154550_L25_C4_9778.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_154601_L25_C8_9995.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_155228_L25_C10_9760.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_162047_L25_PalletGHP1112190949_Cavity3_B017961_Fail7_Score(0.9947362)_0.9999_0.9884.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_165744_L25_C8_9990.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_165911_L25_C6_9952.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_173208_L25_C8_9951.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_174013_L25_C9_9993.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_191607_L25_C5_9788.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_192330_L25_C15_9330.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_192440_L25_C12_9994.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_192451_L25_C1_9999.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_193434_L25_C10_9955.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_195003_L25_C11_9986.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_200146_L25_C4_9923.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_201831_L25_C4_9870.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_205204_L25_C5_9794.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241112_205621_L25_C11_9928.bmp
Extraneous Polymer|Fiber,2,L25,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241114_075002_L25_PalletGHJ1114103913_Cavity11_B017969_Fail5_Score(0.9505268).bmp
Extraneous Polymer|Fiber,2,L27,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241121_071215_L27_C12_9999.bmp
Extraneous Polymer|Fiber,2,L27,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20241121_072829_L27_C8_9195.bmp
Extraneous Polymer|Fiber,2,L24,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20260728_151509_L24_PalletGHA0728193115_Cavity11_D009GNP_Fail7_Score(0.9994212).bmp
Extraneous Polymer|Fiber,2,L24,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20260729_232812_L24_PalletGHR0730034427_Cavity1_D009FX7_Fail6_Score(0.9736988).bmp
Extraneous Polymer|Fiber,2,L24,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20260730_060954_L24_PalletGHJ0730102611_Cavity1_D009FXT_Fail4_Score(0.9347266).bmp
Extraneous Polymer|Fiber,2,L31,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20260805_194445_L31_PalletGHM0806002017_Cavity15_B01BGTV_Fail7_Score(0.9938762).bmp
Extraneous Polymer|Fiber,2,L31,ICube Defects Library/Fiber; Updated ICube Objects/Extraneous Polymer,20260806_223154_L31_PalletGHL0807030732_Cavity12_B01BGV1_Fail7_Score(0.9915794).bmp
Extraneous Polymer|Foreign Matter,2,L24,ICube Defects Library/Extraneous Polymer; Updated ICube Objects/Foreign Matter,20260810_203017_L24_PalletGHB0811004554_Cavity15_B01BF2L_Fail7_Score(0.9880998).bmp
Extraneous Polymer|Multiple Lenses,2,L26,Updated ICube Categorical Classes/Multiple Lenses; Updated ICube Objects/Extraneous Polymer,20260816_093047_L26_PalletGHF0816135159_Cavity12_B01BJQ6_Fail7_Score(0.989757)_0.9833_0.5392.bmp
Fiber|Foreign Matter,2,L31,ICube Defects Library/Foreign Matter; Updated ICube Objects/Fiber,20260805_140220_L31_PalletGHB0805183759_Cavity8_B01BGTV_Fail7_Score(0.9999998)_1.0000_0.9856.bmp
Foreign Matter|Low Dose Obstructing Region of Interest,2,L31,ICube Defects Library/Foreign Matter; ICube Defects Library/Low Dose Obstructing Region of Interest; Updated ICube Categorical Classes/Low Dose; Updated ICube Objects/Foreign Matter,20260805_094920_L31_PalletGHF0805142455_Cavity8_B01BH5J_Fail7_Score(0.9998156).bmp
Foreign Matter|Wet Package,2,L24,ICube Defects Library/Wet Package; Updated ICube Objects/Foreign Matter,20241108_021953_L24_C5_9887_0.9901_0.5717.bmp
HEMA Fragment|HEMA Obstruction,2,L24,ICube Defects Library/HEMA Obstruction; Updated ICube Categorical Classes/HEMA Obstruction; Updated ICube Objects/HEMA,20241102_004906_L24_C5_9471_0.6629.bmp
HEMA Fragment|HEMA Obstruction,2,L24,ICube Defects Library/HEMA Obstruction; Updated ICube Categorical Classes/HEMA Obstruction; Updated ICube Objects/HEMA,20241104_010614_L24_C7_9784_0.5637.bmp
HEMA Fragment|HEMA Obstruction,2,L24,ICube Defects Library/HEMA Obstruction; Updated ICube Categorical Classes/HEMA Obstruction; Updated ICube Objects/HEMA,20241109_174228_L24_C4_9649_0.9824.bmp
HEMA Fragment|HEMA Obstruction,2,L24,ICube Defects Library/HEMA Obstruction; Updated ICube Categorical Classes/HEMA Obstruction; Updated ICube Objects/HEMA,20241110_024940_L24_C13_9997_0.6242.bmp
Lens Off Center|Wet Package,2,L26,ICube Defects Library/Wet Package; Updated ICube Categorical Classes/Lens Off Center; Updated ICube Objects/Clear,20241104_195821_L26_PalletGHI1105011027_Cavity2_B0178LL_Fail5_Score(0.9646114).bmp
Lens Off Center|Wet Package,2,L26,ICube Defects Library/Wet Package; Updated ICube Categorical Classes/Lens Off Center,20241104_224911_L26_C1_9982.bmp
Lens Off Center|Wet Package,2,L26,ICube Defects Library/Wet Package; Updated ICube Categorical Classes/Lens Off Center,20241105_071146_L26_C2_9980.bmp
Low Dose Obstructing Region of Interest|Wet Package,2,L31,ICube Defects Library/Low Dose Obstructing Region of Interest; ICube Defects Library/Wet Package; Updated ICube Categorical Classes/Low Dose,20260805_201245_L31_PalletGHH0806004827_Cavity4_B01BGTV_Fail7_Score(0.9927453).bmp
Low Dose Obstructing Region of Interest|Wet Package,2,L31,ICube Defects Library/Wet Package; Updated ICube Categorical Classes/Low Dose,20260806_013034_L31_PalletGHL0806060615_Cavity8_B01BGTS_Fail7_Score(0.9849097).bmp
Multiple Lenses|Wet Package,2,L26,ICube Defects Library/Wet Package; Updated ICube Categorical Classes/Multiple Lenses; Updated ICube Objects/Clear,20241104_094107_L26_PalletGHD1104145250_Cavity2_B0178LK_Fail7_Score(0.9902036).bmp
Multiple Lenses|Wet Package,2,L25,ICube Defects Library/Wet Package; Updated ICube Categorical Classes/Multiple Lenses,20241114_001422_L25_C5_9744.bmp
