source_md5,source_path,class,line,split
0be4be2760c0320cda2bcfa243a2090a,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241102_011128_L24_C2_9587.bmp,Bubble,L24,test
1593c382fab6035b805836311f8e3150,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241101_232312_L24_C9_9558.bmp,Bubble,L24,test
294ef72b4fa9d33d770ef133c03640a5,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241109_064802_L24_C6_9771.bmp,Bubble,L24,test
2f84c2c6770842e43dee3683ebf2b6b6,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241110_105145_L24_C8_9923.bmp,Bubble,L24,test
2fa32bd5e8b53f4d875f53ac2f2c416d,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241101_111942_L24_C6_9296.bmp,Bubble,L24,test
32d752e9c73ffc45d5544bf32c1bb9bf,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241111_130708_L24_C14_9790.bmp,Bubble,L24,test
44ae3fde10b2a4175eb679542a69bea0,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241109_202018_L24_C15_9730.bmp,Bubble,L24,test
461025fbd8bf0458b5da037e907128c2,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241104_191742_L24_C5_9513.bmp,Bubble,L24,test
48e55635019becd419e2d75b4055e1ba,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241102_083645_L24_C13_9551.bmp,Bubble,L24,test
48e6a234678c65bcb866a2d2c60c2f61,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241109_213824_L24_C10_9460.bmp,Bubble,L24,test
4c99382404b4a21e6ee1306200d72e44,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241102_004522_L24_C9_9396.bmp,Bubble,L24,test
50e44fa947eaa6eb9abb6c39cb99f646,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241109_180846_L24_C8_9999.bmp,Bubble,L24,test
5a7f71192f1e39fae380dd95272f4f82,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241109_083707_L24_C11_9765.bmp,Bubble,L24,test
5f1a86e0965fe3955234245eacc5efa3,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241101_111504_L24_C5_9476.bmp,Bubble,L24,test
754bd0dab7b8b6cf38c07e59c0664b29,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241102_054700_L24_C4_9234.bmp,Bubble,L24,test
7a4433d47c449278cb35a667d8237393,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241107_005834_L24_C3_9079.bmp,Bubble,L24,test
88dfaa93c64c6872531dfe9c1b8b1a5d,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241106_114517_L24_C14_9714.bmp,Bubble,L24,test
a30225f6f6069c614f0931e166202e7d,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241106_102110_L24_C3_9823.bmp,Bubble,L24,test
b9bc98b5d1e508ce14d5505c780d8d73,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241107_193349_L24_C2_9332.bmp,Bubble,L24,test
d6d69177cd078562bb8e84702f781f76,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241106_070037_L24_C6_1.bmp,Bubble,L24,test
de0c175cb7175ba376d6fddfc755ac7d,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241109_152835_L24_C1_9310.bmp,Bubble,L24,test
df929e5b03373a7ca7037a8ebc74af03,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241101_224203_L24_C8_9586.bmp,Bubble,L24,test
fb8ea23a21153ba83e847edbc95b3d5d,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241110_005124_L24_C1_9812.bmp,Bubble,L24,test
ff6072179ec698d76ff8ffd233f50ee8,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241111_185144_L24_C7_9787.bmp,Bubble,L24,test
ffbde241b1b81ac355d3d18dd64cf3ad,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241109_094515_L24_C5_9633.bmp,Bubble,L24,test
034879d1c2b1fc726a3a66d21e3f47c7,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241104_041220_L24_C5_9059.bmp,Bubble,L24,train
04c87bae149fafbf3c9faaae488b4d29,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241107_095807_L24_C5_9469.bmp,Bubble,L24,train
0ba5f32fb035e3d6b913c11fb814cb43,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241110_012942_L24_C10_9046.bmp,Bubble,L24,train
170f4fa12e24f1dc164ee5f29e4aeb3b,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241106_145408_L24_C7_9188.bmp,Bubble,L24,train
1c3d14fdeeb8bbffbf5718e75d829175,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241110_053221_L24_C8_9347.bmp,Bubble,L24,train
1ea34c188f822f0fb775330923de760c,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241101_232829_L24_C1_9860.bmp,Bubble,L24,train
206b196d108ee6c23654e960eb2ed860,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241111_181753_L24_C10_9280.bmp,Bubble,L24,train
22b1ce6b42bc7fe19b5136c022829b69,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241102_021527_L24_C6_9482.bmp,Bubble,L24,train
27f4eaa92e1ac05273bedbc79d960cfc,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241111_063752_L24_C4_9350.bmp,Bubble,L24,train
2d12e3162b3eb23a47131cb4cd1a52c8,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241107_062323_L24_C2_9878.bmp,Bubble,L24,train
3078e7c1262229a5ac972318ad1d3194,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241111_053351_L24_C1_1.bmp,Bubble,L24,train
32c6f80b32b77f001f6fa727e4a1a022,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241107_035652_L24_C13_9774.bmp,Bubble,L24,train
3690355729ae4f1c96f9f10fa510f706,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241106_185031_L24_C15_9521.bmp,Bubble,L24,train
369adc8477a712374d7433a1bcbcc1eb,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241106_194358_L24_C7_9640.bmp,Bubble,L24,train
3938ee242e4e671f166a98236362c3e5,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241107_115407_L24_C13_9732.bmp,Bubble,L24,train
3de91a823e9a5743d493d55b14d9581f,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241107_090843_L24_C14_9357.bmp,Bubble,L24,train
3ea2676e89df36bead471009998a1715,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241110_040620_L24_C1_9761.bmp,Bubble,L24,train
415904439461f7584b459fbdc32c1443,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241109_095317_L24_C11_9261.bmp,Bubble,L24,train
4309db8b574779b4e6beaff0359418d9,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241109_201340_L24_C12_9217.bmp,Bubble,L24,train
50b9862f2db8d354ae58f3306b2ce9a9,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241111_051848_L24_C11_1.bmp,Bubble,L24,train
59f83649acd3d02c1188660b5e95aaba,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241101_235953_L24_C2_9893.bmp,Bubble,L24,train
5a4b7ec813e610165c76ee4ec5ee7234,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble/20241106_071232_L24_C1_1.bmp,Bubble,L24,train
