source_md5,source_path,class,line,split
451f45409d3c52fff4cb02c484da486d,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Cluster/20260813_075849_L31_PalletGHD0813123502_Cavity3_B01BHKF_Fail7_Score(0.999911).bmp,Bubble Cluster,L31,test
7d4704bfd9fee4a73d20f507e6810691,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Cluster/20260808_145520_L31_PalletGHA0808193114_Cavity14_B01BGTZ_Fail6_Score(0.9804375).bmp,Bubble Cluster,L31,train
0f03cae243f218517d06d7047c71e002,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Irregular/20260820_030904_L31_PalletGHM0820074455_Cavity12_B01BK81_Fail7_Score(0.992955).bmp,Bubble Irregular,L31,test
813330ef131e33492153a50330213dd7,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Irregular/20260820_023334_L31_PalletGHR0820070913_Cavity1_B01BK81_Fail7_Score(0.9985447).bmp,Bubble Irregular,L31,train
26a61ce4f40ed28db60cd1370f320c32,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble On 123/20260820_005417_L31_PalletGHI0820053009_Cavity11_B01BK80_Fail6_Score(0.9775637).bmp,Bubble On 123,L31,test
348569bf7e55ddb9cba4bf6953486c42,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble On 123/20260820_004355_L31_PalletGHU0820051951_Cavity5_B01BK80_Fail3_Score(0.9256573).bmp,Bubble On 123,L31,test
cd9e1cb15ec75b190950964f80937709,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble On 123/20260820_003214_L31_PalletGHP0820050810_Cavity8_B01BK80_Fail7_Score(0.9999973).bmp,Bubble On 123,L31,test
da8849cdf30696125a637a95be4b4eaf,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble On 123/20260820_005110_L31_PalletGHE0820052658_Cavity4_B01BK80_Fail7_Score(0.999971).bmp,Bubble On 123,L31,test
09271a26f81e08712604a471a5553eec,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble On 123/20260820_002028_L31_PalletGHM0820045613_Cavity11_B01BK80_Fail7_Score(0.9978441).bmp,Bubble On 123,L31,train
141364ac8de243207a314922e364eca3,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble On 123/20260805_085703_L31_PalletGHI0805133242_Cavity4_B01BH5J_Fail7_Score(0.9999605).bmp,Bubble On 123,L31,train
