source_md5,source_path,class,line,split
0f0b9dfa82f9e0b073f512fc59c20461,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Cluster/20241117_205925_L27_C1_9800.bmp,Bubble Cluster,L27,test
2aa16bf5e76314263fb7cc73d4a0ba64,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Cluster/20241117_104827_L27_C6_9167.bmp,Bubble Cluster,L27,test
6c5c3042dee728d4144b583db564a5ef,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Cluster/20241117_151658_L27_C10_9558.bmp,Bubble Cluster,L27,test
40d7674de3b929eb4cb94a5ed49791a1,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Cluster/20241117_191050_L27_C5_9850.bmp,Bubble Cluster,L27,train
60219a870b60f556055a09fe8967c2cb,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Cluster/20241117_125203_L27_C10_9695.bmp,Bubble Cluster,L27,train
716bde3208d63a46340009755102db5e,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Cluster/20241117_141409_L27_C7_9405.bmp,Bubble Cluster,L27,train
85dd2470096d4c5f6780dc1fa4bc264e,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Cluster/20241117_173107_L27_C4_9604.bmp,Bubble Cluster,L27,train
950b162847969269048ef28563206062,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Cluster/20241118_055435_L27_C5_9033.bmp,Bubble Cluster,L27,train
eed4e5b9549ccb53b8d70f00a2444c8c,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Cluster/20241118_010623_L27_C2_9980.bmp,Bubble Cluster,L27,train
f83fc7fe4980e2bb21432a3a9e54ee49,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Cluster/20241117_180538_L27_C2_9815.bmp,Bubble Cluster,L27,train
2281e976cfed5c38d3ac1c1ee17547d5,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Irregular/20241102_141640_L27_C8_9246.bmp,Bubble Irregular,L27,test
26dd2a1efff82abbd662c0c48f1bc5ab,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Irregular/20241117_131502_L27_C12_9639.bmp,Bubble Irregular,L27,test
2aa8bd0dd8cab034b2523c02d52e23f3,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Irregular/20241102_140219_L27_C5_9182.bmp,Bubble Irregular,L27,test
58b2550918ffdc8c80b04182a6a3b88d,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Irregular/20241106_110332_L27_C15_9209.bmp,Bubble Irregular,L27,test
a912fed1f22ec93dcc9a8c0330cb65e3,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Irregular/20241117_131628_L27_C3_9855.bmp,Bubble Irregular,L27,test
e54b5d3d9b5acaf716853f90edd181e3,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Irregular/20241106_194725_L27_C14_9308.bmp,Bubble Irregular,L27,test
2edfca4b602add24b7588a8d17671dd3,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Irregular/20241106_001022_L27_C12_9504.bmp,Bubble Irregular,L27,train
487d178f46b9db2cb9dd561652550e98,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Irregular/20241117_134544_L27_C14_9486.bmp,Bubble Irregular,L27,train
4ab2a75779e25949199b93253a4c5a14,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Irregular/20241105_222703_L27_C15_9959.bmp,Bubble Irregular,L27,train
610bcc0f0a68f15b9966770e579cb6a9,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Irregular/20241119_015300_L27_C6_9311.bmp,Bubble Irregular,L27,train
7323c53cd799feac7c9f85bee003916e,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Bubble Irregular/20241102_170721_L27_C2_9599.bmp,Bubble Irregular,L27,train
