source_md5,source_path,class,line,split
01ab0bba737bf32540318b192d84a216,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260906_082217_L25_PalletGHS0906124807_Cavity9_B01BMMJ_Fail6_Score(0.9707558)_0.9997_0.9789.bmp,Foreign Matter,L25,test
035740b86320c659c734a694ad759e99,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260816_180113_L25_PalletGHL0816222631_Cavity2_B01BH2P_Fail3_Score(0.9231083).bmp,Foreign Matter,L25,test
12fcd38a8cbc103d164d66d00e75bd4e,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260907_221926_L25_PalletGHJ0908024427_Cavity13_B01BMMV_Fail2_Score(0.9052356).bmp,Foreign Matter,L25,test
162c65231b3af0b90f01593484302744,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20241112_161949_L25_PalletGHO1112190855_Cavity12_B017961_Fail2_Score(0.9073939)_1.0000_0.9735.bmp,Foreign Matter,L25,test
248f29e8ecc69365c1aa1db2de8c1e65,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260829_131428_L25_PalletGHK0829173948_Cavity9_B01BKL6_Fail7_Score(0.9963691).bmp,Foreign Matter,L25,test
2a64fa871b2348f624d7002435e15e96,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Foreign Matter/20241111_231002_L25_C5_9480.bmp,Foreign Matter,L25,test
2e7226c39287432498291e76ed43f088,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260831_235048_L25_PalletGHM0901041619_Cavity7_B01BLFD_Fail5_Score(0.963234).bmp,Foreign Matter,L25,test
3ea8ef3c481650499e8c98ee4efa1d2c,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20241109_055913_L25_PalletGHD1109084803_Cavity3_B0178KJ_Fail3_Score(0.9236628)_1.0000_0.9830.bmp,Foreign Matter,L25,test
4fe2ed194e1533ad4179d60c4c490dbb,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260814_224827_L25_PalletGHR0815031341_Cavity15_B01BHXK_Fail4_Score(0.9491128).bmp,Foreign Matter,L25,test
542a8c56c2338873ff19d31c63917a67,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20241112_011510_L25_PalletGHJ1112040408_Cavity12_B017960_Fail6_Score(0.9801289)_1.0000_0.9977.bmp,Foreign Matter,L25,test
67558c1327ce8b2b4856b25677248d8b,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260817_151749_L25_PalletGHJ0817194314_Cavity11_B01BJQG_Fail7_Score(0.9969783).bmp,Foreign Matter,L25,test
