source_md5,source_path,class,line,split
021c7598157741d34b5d3266c36c6372,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260822_154448_L26_PalletGHF0822200607_Cavity10_B01BKPV_Fail4_Score(0.9339343).bmp,Foreign Matter,L26,test
0a7f4c0731b7664fc46762e1d5484b98,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Foreign Matter/20241105_060414_L26_PalletGHG1105111623_Cavity5_B0178LN_Fail4_Score(0.9410886).bmp,Foreign Matter,L26,test
16c7e2da4045ed568cdbbd09bc52d047,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20241110_200143_L26_PalletGHF1111011258_Cavity4_B0179FS_Fail7_Score(0.998971)_0.4789.bmp,Foreign Matter,L26,test
16ec7ba388f592fc9a0a07f8f1f14f14,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260824_012743_L26_PalletGHA0824054824_Cavity12_B01BKLW_Fail6_Score(0.9690195).bmp,Foreign Matter,L26,test
1881ad6cab831b5471bdb716d9bc5c1e,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260903_171839_L26_PalletGHG0903214015_Cavity8_B01BLMG_Fail6_Score(0.9680268)_1.0000_0.9676.bmp,Foreign Matter,L26,test
1ad2a36578d66833de402d03c20d214c,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260903_182555_L26_PalletGHL0903224736_Cavity4_B01BLMJ_Fail5_Score(0.9624078).bmp,Foreign Matter,L26,test
238bba78c163a429f1a95b8f482610f2,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260905_175232_L26_PalletGHQ0905221423_Cavity12_B01BMP5_Fail7_Score(0.9909168).bmp,Foreign Matter,L26,test
2cc9c8f8abb33c57e0933f25a542b646,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260828_133402_L26_PalletGHB0828175510_Cavity6_B01BKMJ_Fail5_Score(0.9606043).bmp,Foreign Matter,L26,test
2d23ba000324d4c5e47e874e4ba43cdf,/data/FMD_Data_26082026/fmd_temp_images/ICube Defects Library/Foreign Matter/20241104_135359_L26_PalletGHH1104190414_Cavity6_B0178LL_Fail7_Score(0.998804).bmp,Foreign Matter,L26,test
2ed2d4fe1e0cf2889f443d15a3e6629a,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260831_134649_L26_PalletGHQ0831180816_Cavity7_B01BLLV_Fail6_Score(0.981453)_0.9995_0.3296.bmp,Foreign Matter,L26,test
